Course Name,Prerequisites,Norequisites
CS502,CS300|CS302,None
CS506,(CS367|CS400)&(CS407|CS536|CS537|CS545|CS559|CS564|CS570|CS679|CS552),None
CS513,(MATH340|MATH341|MATH375)&(CS200|CS300|CS301|CS302|CS310),None
CS514,(MATH320|MATH340|MATH341|MATH375)&(MATH322|MATH376|MATH421|MATH521)&(CS200|CS220|CS300|CS310|CS301),None
CS518,None,None
CS520,(CS240|CS475)&(CS367|CS400),None
CS524,(CS200|CS300|CS301|CS302|CS310)&(MATH320|MATH340|MATH341|MATH375),None
CS525,MATH320|MATH340|MATH341|MATH375|MATH443,None
CS526,CS525&(CS200|CS300|CS301|CS302|CS310),None
CS532,(MATH222|MATH276)&(ECE203|CS200|CS220|CS300|CS301|CS302|CS310|CS320),None
CS533,ECE330&(MATH320|MATH340),None
CS534,(CS300|CS367)&(MATH217|MATH221|MATH275),None
CS536,CS354&(CS367|CS400),None
CS537,CS354&(CS367|CS400),None
CS538,CS354&(CS367|CS400),None
CS539,CS200|CS220|CS300|CS301|CS302|CS310,None
CS540,(CS300|CS367)&(MATH211|MATH217|MATH221|MATH275),None
CS545,CS536|CS537|CS564,None
CS547,MATH234&(CS300|CS367)&CS354,None
CS552,CS352&CS354,None
CS558,(CS367|CS400)&MATH234,None
CS559,(MATH222|MATH276)&(CS367|CS400),None
CS564,CS354&(CS367|CS400),None
CS567,(MATH320|MATH340)&(STAT511|STAT541|BMI551|STAT324|STAT371|STAT571),None
CS570,CS200|CS220|CS300|CS301|CS302,None
CS576,(CS300|CS367)&MATH222,None
CS577,(CS240|CS475)&(CS367|CS400),None
CS578,(CS300|CS367),None
CS579,None,None
CS611,None,None
CS612,CS611,None
CS613,CS612,None
CS614,CS613,None
CS635,(MATH320|MATH340|MATH341|MATH375)&(CS200|CS202|CS300|CS301|CS302),None
CS638,CS200|CS202|CS300|CS301|CS302|CS310|CS367,None
CS639,None,None
CS640,CS537,None
CS642,CS537,None
CS679,CS559,None
CS681,None,None
CS682,None,None
CS691,None,None
CS692,None,None
CS698,None,None
CS699,None,None
CS701,None,None
CS703,None,None
CS704,None,None
CS706,None,None
CS707,None,None
CS710,None,None
CS714,None,None
CS715,None,None
CS719,None,None
CS723,None,None
CS726,None,None
CS727,None,None
CS728,None,None
CS730,CS726
CS733,None,None
CS736,None,None
CS739,CS736
CS740,None,None
CS744,None,None
CS750,None,None
